Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,2048,1,0,0,128,0,480,96,2753,2048,705,63694.65809102961
P1,0,2046,0,0,64,0,4,64,2178,2046,132,63729.82226129608
P2,0,0,2048,0,256,0,256,256,2816,2048,768,63270.216709374996
P3,0,1,0,2048,96,0,226,128,2499,2048,451,63725.47996348133
P4,0,0,0,0,1373,0,0,1,1374,1373,1,64027.9681303162
P5,0,0,0,0,128,2048,468,128,2772,2048,724,63825.85565998968
P6,0,0,0,0,3,0,614,16,633,614,19,63717.118472654605
P7,0,0,0,0,0,0,0,1359,1359,1359,0,64083.34293489747
