Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,7,2,1,2,0,1,2,4,19,7,12,500.11954009500005
P1,2,2,1,0,2,1,1,5,14,2,12,500.15785396625006
P2,1,2,9,1,6,0,0,2,21,9,12,500.26844739999996
P3,4,1,0,4,2,0,3,0,14,4,10,500.39615035124996
P4,0,0,1,1,0,8,4,1,15,0,15,500.31361580125
P5,0,6,2,2,3,0,1,1,15,0,15,500.48023761499996
P6,1,3,1,4,2,1,2,1,15,2,13,500.3629863325
P7,1,0,1,2,1,5,3,2,15,2,13,499.97455179875
