Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,1024,0,0,0,79,0,226,64,1393,1024,369,31878.3080431415
P1,0,1016,0,0,16,0,6,32,1070,1016,54,31834.586021775154
P2,0,7,1024,0,128,0,128,128,1415,1024,391,31804.939060695157
P3,0,0,0,1024,64,0,125,31,1244,1024,220,31899.612498020095
P4,0,0,0,0,673,0,0,3,676,673,3,31782.69764221078
P5,0,1,0,0,64,1024,232,64,1385,1024,361,31817.440622996714
P6,0,0,0,0,0,0,307,9,316,307,9,31891.371045911616
P7,0,0,0,0,0,0,0,693,693,693,0,31916.75378832896
