Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,67,95,191,318,87,139,162,49,1108,67,1041,31853.117843675092
P1,69,554,91,20,232,75,37,4,1082,554,528,31853.074697639076
P2,434,55,104,473,107,87,112,115,1487,104,1383,31853.00654835773
P3,88,33,161,0,95,5,242,9,633,0,633,31853.763727842495
P4,248,193,197,29,98,127,103,190,1185,98,1087,31853.805544043924
P5,24,1,31,117,15,96,39,543,866,96,770,31852.794579038433
P6,50,79,220,0,244,68,145,35,841,145,696,31852.79747289154
P7,44,14,29,67,146,427,184,79,990,79,911,31853.348309591674
