Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,64,0,0,0,15,0,8,7,94,64,30,2006.9201059840625
P1,0,64,0,0,0,0,0,4,68,64,4,2023.56472613125
P2,0,0,64,0,2,0,14,1,81,64,17,2009.2284098265627
P3,0,0,0,64,2,0,8,3,77,64,13,2015.8029138896875
P4,0,0,0,0,43,0,0,0,43,43,0,2075.909733031875
P5,0,0,0,0,2,64,15,5,86,64,22,2010.3196315415626
P6,0,0,0,0,0,0,19,1,20,19,1,2020.1657362340627
P7,0,0,0,0,0,0,0,43,43,43,0,2028.9967462409372
