Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,10,70,2,6,79,41,9,25,242,10,232,7987.1307441999215
P1,14,23,1,59,34,50,29,38,248,23,225,7987.555723643202
P2,14,18,94,19,27,46,33,39,290,94,196,7986.910690183202
P3,4,29,10,64,6,7,18,86,224,64,160,7987.691965515547
P4,99,41,71,3,32,51,35,20,352,32,320,7987.261302959609
P5,98,36,21,80,1,5,45,17,303,5,298,7986.758044543905
P6,15,17,12,11,66,19,30,22,192,30,162,7987.125155334141
P7,2,22,45,14,11,37,57,9,197,9,188,7987.287568860467
