Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,50,0,0,0,0,6,0,7,63,50,13,990.6174268476
P1,0,50,0,0,0,0,0,7,57,50,7,1043.523552874
P2,0,0,50,0,0,0,0,9,59,50,9,1023.112450618
P3,0,0,0,50,0,1,0,2,53,50,3,1002.6420917396001
P4,0,0,0,0,50,0,0,9,59,50,9,1022.8969678980001
P5,0,0,0,0,0,42,0,0,42,42,0,1209.8057670552
P6,0,0,0,0,0,1,50,6,57,50,7,978.5652160676
P7,0,0,0,0,0,0,0,10,10,10,0,1030.61703682
