Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,25,0,0,0,0,0,0,0,25,25,0,1789.78588582
P1,0,36,0,0,0,0,0,0,36,36,0,1725.3544578623998
P2,7,1,50,0,0,0,0,4,62,50,12,1720.931556688
P3,3,1,0,50,0,0,0,0,54,50,4,1720.3095188168004
P4,3,2,0,0,50,0,0,13,68,50,18,1737.3041963352
P5,7,10,0,0,0,50,0,4,71,50,21,1712.4119253136
P6,4,0,0,0,0,0,50,13,67,50,17,1713.7056007512
P7,1,0,0,0,0,0,0,16,17,16,1,1711.5052232727999
