Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,20,7,11,5,4,3,3,2,0,28,0,4,17,2,0,2,8,0,5,10,2,15,0,2,0,5,5,9,1,15,11,9,205,20,185,2155.7839022002304
P1,0,3,7,4,5,20,2,1,7,14,4,2,9,6,2,5,21,5,2,6,10,6,4,3,2,5,0,11,27,3,5,0,201,3,198,2155.8482677203656
P2,9,10,5,3,7,6,3,25,1,4,20,8,2,8,0,5,10,7,2,2,5,1,5,14,9,16,19,6,7,9,3,1,232,5,227,2155.9787007596638
P3,2,5,4,2,18,5,3,5,0,6,3,1,5,21,9,1,3,1,0,1,2,7,0,0,2,3,1,6,3,1,14,5,139,2,137,2155.900878195731
P4,17,1,16,9,3,4,6,0,8,4,5,7,5,12,5,42,8,9,36,4,5,4,17,12,4,1,16,6,23,1,3,6,299,3,296,2155.9878472997116
P5,0,5,35,10,0,15,15,0,6,4,9,4,3,8,7,1,0,19,19,17,4,16,1,12,9,4,1,9,1,3,30,14,281,15,266,2155.846754668302
P6,0,13,9,7,7,17,12,0,0,5,9,3,12,3,5,10,6,6,2,2,15,8,0,6,3,19,1,6,1,4,3,7,201,12,189,2155.99826475801
P7,2,19,4,6,0,6,14,4,13,4,8,21,5,10,2,6,10,5,3,0,0,29,22,6,5,0,17,0,5,7,8,1,242,4,238,2155.918045846634
P8,5,6,3,6,1,6,2,3,6,14,8,17,10,3,1,4,0,1,7,0,8,14,1,7,1,5,14,0,2,3,6,5,169,6,163,2155.959960485726
P9,10,1,10,21,4,0,8,6,24,9,1,8,4,0,14,6,10,3,10,4,25,1,6,1,3,2,21,9,3,6,1,8,239,9,230,2155.8959744884664
P10,10,0,4,12,8,9,6,4,4,10,1,7,7,1,6,2,4,7,24,9,4,4,16,1,2,6,2,8,7,16,8,4,213,1,212,2155.917472920014
P11,0,11,1,4,5,3,2,2,5,7,37,2,2,9,1,5,6,1,8,1,2,7,7,0,27,5,9,9,2,1,5,7,193,2,191,2156.019256252601
P12,10,0,10,5,14,1,15,9,9,12,0,3,5,15,6,0,2,6,1,1,0,10,12,1,27,10,8,17,20,5,8,1,243,5,238,2155.918237463673
P13,9,15,5,5,3,5,7,4,0,2,14,4,1,1,5,0,9,0,12,0,47,8,5,15,8,3,2,14,5,5,4,25,242,1,241,2155.928010883452
P14,0,6,0,0,12,8,2,0,5,3,6,16,0,5,1,1,0,1,4,1,11,7,2,3,6,5,2,6,4,9,9,1,136,1,135,2155.933996553644
P15,0,19,1,4,15,20,6,4,0,6,3,4,8,3,3,7,9,11,3,7,2,18,1,10,13,4,13,9,1,2,0,6,212,7,205,2155.946144633851
P16,3,11,5,1,1,9,4,1,1,0,25,0,2,13,10,5,21,15,3,12,4,1,11,23,5,3,6,6,6,8,22,8,245,21,224,2155.996854064741
P17,4,3,0,4,11,7,9,3,16,9,1,0,13,2,0,1,2,2,2,15,0,2,9,2,2,11,2,1,0,1,1,0,135,2,133,2155.921980028278
P18,9,3,0,8,15,0,0,13,5,2,9,8,7,1,6,3,19,3,13,1,3,0,4,2,3,10,1,0,3,4,6,6,167,13,154,2155.919850927548
P19,20,1,4,3,1,12,9,38,24,0,1,25,4,0,9,6,0,0,2,6,2,1,17,9,1,1,2,6,3,3,0,0,210,6,204,2155.9716830464367
P20,16,3,1,2,3,0,2,18,6,8,4,0,27,1,4,5,15,4,4,3,1,2,2,8,10,21,1,0,14,7,11,9,212,1,211,2155.968813414245
P21,4,9,3,1,4,7,18,3,1,0,9,0,5,21,1,13,6,5,1,13,0,8,12,3,1,6,15,5,5,0,1,16,196,8,188,2155.8653018457408
P22,5,0,3,1,17,0,3,15,4,11,1,3,1,13,11,10,7,57,1,4,16,1,0,0,6,3,11,2,9,8,10,7,240,0,240,2155.8114695911436
P23,14,1,3,16,0,4,4,8,0,2,8,3,15,9,20,19,4,1,4,1,6,0,9,3,0,8,1,9,5,13,3,0,193,3,190,2155.875723488831
P24,9,24,1,4,3,0,20,10,8,2,7,0,13,1,13,6,14,12,9,17,2,0,6,0,1,3,8,5,3,1,8,1,211,1,210,2155.9053271903367
P25,6,8,26,5,21,14,4,0,6,9,3,6,0,2,1,6,1,2,2,2,5,0,2,9,25,25,8,19,11,2,0,22,252,25,227,2155.8337479604183
P26,0,9,4,4,6,0,5,0,9,1,6,3,9,6,1,8,5,1,9,14,0,17,0,15,1,2,5,3,4,17,6,0,170,5,165,2155.901157259817
P27,3,0,23,3,2,8,4,8,4,8,1,9,7,5,24,11,0,0,0,14,7,13,2,6,5,18,0,3,6,7,7,23,231,3,228,2155.902647124091
P28,8,6,1,7,4,6,0,5,0,2,0,6,2,21,19,2,0,5,1,7,14,1,26,9,13,2,7,6,4,6,10,4,204,4,200,2156.0134944553265
P29,0,1,4,0,5,3,2,12,8,4,2,26,0,0,9,12,0,2,0,7,0,1,0,2,3,1,8,8,2,29,0,0,151,29,122,2155.997466078538
P30,2,3,1,27,6,6,12,0,2,17,2,4,5,2,4,3,0,12,12,8,3,4,7,23,10,1,1,6,16,1,5,2,207,5,202,2155.882320013716
P31,11,5,4,19,3,4,6,5,26,1,1,4,3,4,9,1,8,5,7,19,3,2,2,1,1,0,1,4,5,11,0,10,185,10,175,2156.015890000711
