Iter,R0,R1,R2,R3,R4,R5,R6,R7
33,1.06741786,2.0572082996,3.2371923923,3.2568819523,2.04565835,1.0645020008,0.670778513,0.6600649357
34,3.1381447315,7.8043944836,13.8895998001,13.8856987953,7.9373028278,3.1610636711,1.6537313461,1.6504974365
35,1.0620200634,2.0425858498,3.2218527794,3.2349903584,2.0577542782,1.0559968948,0.6753530502,0.653440237
36,3.1383323669,7.8360626698,13.8631093502,13.8799717426,7.9386937618,3.1969761848,1.6715154648,1.6667592525
37,1.0570654869,2.0595722198,3.2366912365,3.2345740795,2.0591013432,1.0581254959,0.6713469028,0.6593651772
38,3.1848509312,7.8043050766,13.7977850437,13.8740770817,7.883919239,3.1800935268,1.6516540051,1.6660320759
39,1.0591220856,2.0380694866,3.2494447231,3.236199379,2.0947391987,1.0624504089,0.6666445732,0.6643612385
40,3.1497449875,7.8455696106,13.8399887085,13.8819310665,7.9566180706,3.2222042084,1.6629521847,1.6528563499
41,1.05488801,2.0475168228,3.226729393,3.2358174324,2.0617146492,1.0663554668,0.6720216274,0.666308403
42,3.1652603149,7.8061208725,13.9073166847,13.8264987469,7.9872539043,3.2097351551,1.6685276031,1.6607878208
43,1.0581543446,2.0519449711,3.2279348373,3.2209494114,2.0526175499,1.0604231358,0.6708819866,0.6688861847
44,3.1667635441,7.8912322521,13.8743143082,13.8024685383,7.9118535519,3.1837127209,1.6564490795,1.6527867317
45,1.0679488182,2.0671470165,3.2516584396,3.2325372696,2.0699734688,1.0637962818,0.6716594696,0.6575171947
46,3.1823515892,7.8855388165,13.8995754719,13.9131832123,7.8597028255,3.147598505,1.6931462288,1.6885683537
47,1.0623519421,2.0599691868,3.2688832283,3.229460001,2.0715298653,1.0478572845,0.663371563,0.6572418213
48,3.1947257519,7.8655648232,13.9372618198,13.8862338066,7.9161224365,3.2227282524,1.6714150906,1.6773915291
49,1.0627453327,2.0596117973,3.2262868881,3.2116470337,2.0802547932,1.0654909611,0.6732850075,0.6722340584
50,3.1703495979,7.8352510929,13.8644292355,13.8895618916,7.8913242817,3.1770670414,1.6638121605,1.6535375118
51,1.0662856102,2.0549564362,3.282790184,3.2003986835,2.058052063,1.0649244785,0.6714169979,0.6549866199
52,3.1939170361,7.8263449669,13.8296256065,13.8541612625,7.9490735531,3.1932973862,1.6471428871,1.6496846676
53,1.0882072449,2.0497682095,3.2275319099,3.2586741447,2.0809543133,1.0611541271,0.6695101261,0.6683840752
54,3.1524579525,7.8353910446,13.8317816257,13.8617515564,7.9199597836,3.1528441906,1.6547217369,1.6687209606
55,1.0832209587,2.0312538147,3.2286837101,3.2438194752,2.0728144646,1.0662682056,0.6674382687,0.6660869122
56,3.157627821,7.8114261627,13.8591074944,13.842654705,7.9331877232,3.19912076,1.6324265003,1.64722085
57,1.0570130348,2.0360784531,3.2398765087,3.2336189747,2.0709490776,1.0615165234,0.6685817242,0.658698082
58,3.1714775562,7.8563640118,13.903093338,13.8415989876,7.8707110882,3.1708390713,1.6746377945,1.6689193249
59,1.0681400299,2.0461900234,3.2571835518,3.2439820766,2.0595757961,1.0640740395,0.674220562,0.6730349064
60,3.1631491184,7.8420968056,13.8307113647,13.8776555061,7.9489986897,3.1868224144,1.6754250526,1.6612687111
61,1.0662240982,2.0298864841,3.2383954525,3.2333841324,2.0653958321,1.0552716255,0.6764688492,0.6649811268
62,3.1918976307,7.8356096745,13.9212193489,13.8697872162,7.8840456009,3.19465065,1.6747906208,1.66289258
63,1.0627367496,2.0432808399,3.2366111279,3.2338442802,2.0623726845,1.0662586689,0.6633210182,0.66182971
64,3.1659026146,7.8371524811,13.899646759,13.8366377354,7.9758706093,3.1889677048,1.6473968029,1.6317679882
65,1.0683782101,2.0397498608,3.2188606262,3.2114129066,2.0701551437,1.0632255077,0.6672697067,0.6686418056
66,3.1518414021,7.8765842915,13.8671998978,13.8484342098,7.9544885159,3.1593642235,1.6803231239,1.6495914459
67,1.06320858,2.0381815434,3.2410848141,3.2251393795,2.0782754421,1.062877655,0.6677985191,0.6691265106
68,3.1923589706,7.8100979328,13.8674690723,13.8413741589,7.9154970646,3.1413195133,1.6571280956,1.6553373337
69,1.0604701042,2.0389597416,3.230809927,3.233989954,2.0542604923,1.0534954071,0.6655883789,0.6630539894
70,3.1682624817,7.8989543915,13.882692337,13.8356595039,7.8888168335,3.2191522121,1.6557302475,1.6446182728
71,1.0536692142,2.026704073,3.2460949421,3.2427475452,2.0725104809,1.0537528992,0.6640853882,0.6639399529
72,3.1782166958,7.8258323669,13.8637526035,13.8384740353,7.8878281116,3.1833338737,1.6554145813,1.6524038315
73,1.06986022,2.0393602848,3.2479763031,3.2338607311,2.061542511,1.0690019131,0.6636579037,0.6602959633
74,3.1731972694,7.8480706215,13.8788752556,13.8623805046,7.940012455,3.1823692322,1.6609611511,1.6621477604
75,1.0554757118,2.0279185772,3.2493863106,3.2578589916,2.0784282684,1.0573132038,0.6688709259,0.6620459557
76,3.1399054527,7.8536441326,13.8980557919,13.8456087112,7.9817767143,3.2152569294,1.6773033142,1.6742465496
77,1.0641794205,2.043816328,3.2448761463,3.2569615841,2.0614738464,1.0609104633,0.6758754253,0.6605610847
78,3.1732227802,7.857927084,13.8717551231,13.8629438877,7.9569106102,3.248250246,1.6652646065,1.6594796181
79,1.0531964302,2.0392735004,3.2278707027,3.2280545235,2.0955631733,1.0592339039,0.6626434326,0.6642258167
80,3.1767687798,7.8906347752,13.8958258629,13.9217870235,7.9322743416,3.2121047974,1.6715919971,1.668620348
81,1.0669169426,2.0393795967,3.2403669357,3.2260804176,2.0668721199,1.0626101494,0.668838501,0.6670246124
82,3.1733841896,7.880761385,13.8550276756,13.8817100525,7.9750292301,3.1872193813,1.6632995605,1.6886107922
83,1.0665068626,2.0526156425,3.230701685,3.242399931,2.0919053555,1.0617482662,0.6697845459,0.6736073494
84,3.135815382,7.8436439037,13.8930017948,13.8798062801,7.8912956715,3.1684732437,1.6614017487,1.6541850567
85,1.0651459694,2.0426518917,3.2305846214,3.2516396046,2.0669279099,1.0677642822,0.6750690937,0.6622238159
86,3.1726813316,7.8302493095,13.8854491711,13.9145712852,7.9386668205,3.1670687199,1.6566972733,1.6658113003
87,1.0629024506,2.0415279865,3.2513680458,3.2234377861,2.090972662,1.0694625378,0.668191433,0.6670675278
88,3.1499862671,7.8430809975,13.8190977573,13.870429039,7.9790689945,3.2015237808,1.663898468,1.6494867802
89,1.0683794022,2.0457072258,3.226537466,3.2280085087,2.0642135143,1.0688049793,0.6721417904,0.6587948799
90,3.1711728573,7.874268055,13.8732898235,13.8580482006,7.8942911625,3.2284107208,1.668697834,1.6544482708
91,1.0730791092,2.0384979248,3.1882436275,3.2040424347,2.0699241161,1.064677,0.6702063084,0.6650304794
92,3.1450428963,7.8774151802,13.8910553455,13.8373656273,7.9655482769,3.1662180424,1.6661436558,1.6414752007
93,1.0680274963,2.064139843,3.2398700714,3.2047431469,2.0843403339,1.0692734718,0.6727068424,0.6672325134
94,3.1469080448,7.835439682,13.8780794144,13.8432598114,7.9634277821,3.1895515919,1.6652388573,1.6572964191
95,1.0572516918,2.0438735485,3.2357752323,3.2335505486,2.0625474453,1.0550639629,0.6701147556,0.6597456932
96,3.1601161957,7.8150658607,13.8702607155,13.8331027031,7.9105093479,3.200095892,1.657106638,1.6623842716
97,1.072091341,2.032474041,3.2605774403,3.2418367863,2.07006073,1.0680656433,0.6719346046,0.6674335003
98,3.1644258499,7.8353340626,13.8729481697,13.9284660816,7.9782004356,3.2429451942,1.690672636,1.6789107323
99,1.064227581,2.0477702618,3.2409255505,3.2392606735,2.0646686554,1.0624783039,0.6698112488,0.6745946407
