Iter,R0,R1,R2,R3,R4,R5,R6,R7,,,,,,
52,40.797712,370.673845,292.012074,322.183851,370.436899,124.947125,0,0,,124.947125,,,,40.797712
53,7.14632,407.51819,349.898673,355.716964,527.881364,0,0,0,,,,,,7.14632
54,70.574886,484.804353,276.29242,292.601179,389.67882,55.313819,0,0,,55.313819,,,,70.574886
55,0,400.078425,392.691794,403.863482,570.239826,0,0,11.297576,,,,11.297576,,
56,12.422378,303.171182,307.799943,364.94211,255.134447,196.428145,3.752151,0,,196.428145,3.752151,,,12.422378
57,7.706151,388.279192,395.849194,360.606616,572.41368,0,0,0,,,,,,7.706151
58,78.336854,456.802194,290.178765,265.522389,362.126395,21.256161,3.318336,2.814463,,21.256161,3.318336,2.814463,,78.336854
59,36.47056,327.519258,418.902308,431.185517,449.094709,13.055143,0,0,,13.055143,,,,36.47056
60,6.335079,404.095666,316.850042,256.746616,481.582655,26.241086,3.178579,49.345646,,26.241086,3.178579,49.345646,,6.335079
61,0,391.664205,355.390414,405.95634,524.642386,0,0,0,,,,,,
62,71.064604,410.325128,297.866161,299.89674,357.964108,96.703606,3.273884,3.714344,,96.703606,3.273884,3.714344,,71.064604
63,0,492.798919,419.83374,439.958338,532.025388,9.085758,0,0,,9.085758,,,,
64,57.165458,501.571658,271.081618,269.605993,547.412315,68.770497,3.38093,0,,68.770497,3.38093,,,57.165458
65,7.705882,348.20088,367.590319,341.544112,523.831327,10.134082,9.328408,9.113396,,10.134082,9.328408,9.113396,,7.705882
66,145.845081,386.446581,248.065477,281.830157,267.663823,86.904786,0,0,,86.904786,,,,145.845081
67,0,351.052888,416.834304,451.923029,601.202348,0,0,0,,,,,,
68,88.768339,393.710896,278.836636,315.934822,411.274423,89.360403,3.529038,0,,89.360403,3.529038,,,88.768339
69,16.569926,330.050575,358.056018,397.83551,563.040096,10.820939,0,8.82402,,10.820939,,8.82402,,16.569926
70,53.81603,388.908716,273.991062,330.064818,393.599949,43.484067,0,75.390958,,43.484067,,75.390958,,53.81603
71,13.893576,396.978271,351.347481,422.651877,595.515279,10.977325,0,0,,10.977325,,,,13.893576
72,42.401113,546.588344,272.736336,286.476607,325.663312,27.330955,0,0,,27.330955,,,,42.401113
73,0,343.615153,392.807346,385.335881,492.173668,63.68283,0,0,,63.68283,,,,
74,24.896334,407.498704,262.193001,270.249411,407.707607,110.609917,2.86513,3.090014,,110.609917,2.86513,3.090014,,24.896334
75,7.223625,399.019639,359.947944,407.303111,559.428501,11.569026,8.816008,0,,11.569026,8.816008,,,7.223625
76,91.35202,462.346422,247.81125,274.143308,349.991405,105.014071,2.854657,40.463794,,105.014071,2.854657,40.463794,,91.35202
77,6.815219,371.014863,358.160993,359.695676,438.068211,0,0,0,,,,,,6.815219
78,140.691949,281.990511,279.127786,349.566354,430.539956,14.96471,0,5.831683,,14.96471,,5.831683,,140.691949
79,49.466479,320.353852,383.865282,371.871839,503.799038,0,0,0,,,,,,49.466479
80,26.029105,475.626639,290.305518,311.101157,417.348496,63.191338,0,0,,63.191338,,,,26.029105
81,0,300.258,345.502376,398.98778,599.406198,0,10.137364,10.181412,,,10.137364,10.181412,,
82,53.988911,444.158438,254.330137,259.217064,473.709628,101.701851,3.281651,0,,101.701851,3.281651,,,53.988911
83,0,344.411347,355.016377,371.780749,505.547751,0,0,9.089716,,,,9.089716,,
84,117.831713,443.101956,287.638584,285.275475,358.793434,101.473237,0,0,,101.473237,,,,117.831713
85,0,339.722765,391.921497,362.358286,530.115691,0,0,10.116141,,,,10.116141,,
86,82.05125,482.330367,271.413985,284.572686,418.737318,46.842221,2.70072,3.549207,,46.842221,2.70072,3.549207,,82.05125
87,0,369.036684,338.028684,337.006792,551.653978,10.487569,0,0,,10.487569,,,,
88,44.732467,394.449523,276.973853,276.462287,223.783014,0,0,0,,,,,,44.732467
89,0,372.352105,359.586678,367.253832,443.360799,12.767077,0,9.454211,,12.767077,,9.454211,,
90,88.256677,516.590797,261.493686,310.152108,414.388005,23.659706,0,0,,23.659706,,,,88.256677
91,8.133651,373.970844,415.249109,384.518433,614.578473,0,0,10.599251,,,,10.599251,,8.133651
92,86.871566,356.682768,293.962302,267.97799,387.574541,85.298278,2.813821,83.674202,,85.298278,2.813821,83.674202,,86.871566
93,0,381.922605,345.933962,376.409887,601.420132,0,0,0,,,,,,
94,27.463725,446.908574,257.638784,283.614591,405.80835,135.202329,0,3.015214,,135.202329,,3.015214,,27.463725
95,78.315499,302.028634,337.297141,387.470325,609.628902,47.26469,0,0,,47.26469,,,,78.315499
96,67.761762,473.235489,260.490445,304.29816,390.424465,88.822062,0,0,,88.822062,,,,67.761762
97,34.816864,426.314912,406.149317,433.470917,470.149033,0,9.880482,0,,,9.880482,,,34.816864
98,102.596701,402.201926,243.755681,301.171258,428.376673,67.446094,3.176764,0,,67.446094,3.176764,,,102.596701
99,24.277697,341.819405,405.897642,399.610391,533.691751,0,9.125134,10.087554,,,9.125134,10.087554,,24.277697
,,,,,,,,,,,,,,
tmp_min,6.335079,281.990511,229.887435,251.133208,137.107067,4.985895,2.624782,2.814463,,,,,,
tmp_max,146.534222,552.711172,423.19011,474.627703,651.282699,196.428145,18.322899,85.856907,,,,,,
tmp_avg,52.86449005,405.2097817,325.3226651,343.3121769,458.195317,56.26130317,5.792904548,14.93052731,,,,,,
,,,,,,,,,,,,,,
min,6.335079,281.990511,229.887435,251.133208,137.107067,4.985895,2.624782,2.814463,,114.609805,,8.725256971,,
max,146.534222,552.711172,423.19011,474.627703,651.282699,196.428145,18.322899,85.856907,,318.6192321,,3.138542496,,
avg,52.86449005,405.2097817,325.3226651,343.3121769,458.195317,56.26130317,5.792904548,14.93052731,,207.7361457,,4.813798757,,
